,dim,fscore,accuracy
0,25,0.6871882610543707,0.5597806959159275
1,50,0.6871882547074578,0.5597806840488948
2,75,0.6871882610543707,0.5597806959159275
3,100,0.6871526294848002,0.5597634818213267
4,125,0.6871882610543707,0.5597806959159275
5,150,0.6871882610543707,0.5597925220712898
6,175,0.6871526231378872,0.5598292935519441
7,200,0.6872238862770284,0.5599294319926937
8,225,0.6870457538168272,0.5602069317927175
9,250,0.6869032465792836,0.5599174344793321
10,275,0.6867963328298327,0.5597936209517193
11,300,0.6866538255922892,0.5600933424341404
