,dim,fscore,accuracy,precision,recall
0,25,0.7881431288431366,0.7999465574062528,0.7862541705782674,0.7999465574062528
1,50,0.8099477106050101,0.8187850717021466,0.8084136806044505,0.8187850717021466
2,75,0.8147942281801069,0.8230159437071346,0.813294941357573,0.8230159437071346
3,100,0.819437756178708,0.8268459962590184,0.8180946192831328,0.8268459962590184
4,125,0.8250104438132184,0.8321457201389507,0.8241299037884373,0.8321457201389507
5,150,0.8282027909062082,0.8352186692794157,0.8272098656422873,0.8352186692794157
6,175,0.8290943225120357,0.8357976307116772,0.8280941857638133,0.8357976307116772
7,200,0.8313310904349612,0.8377571924824084,0.830376579241323,0.8377571924824084
8,225,0.8298197869415079,0.8363765921439387,0.8288874759590118,0.8363765921439387
9,250,0.832881034489949,0.8390487218312995,0.8318766290812111,0.8390487218312995
10,275,0.8354264041636595,0.8415427095395029,0.8344744349818439,0.8415427095395029
11,300,0.8372980507938161,0.8432795938362875,0.8364092943456699,0.8432795938362875
