C, gamma, fscore, accuracy, precision, recall
0.001, 1, 0.5597806959159275, 0.6871882610543707, 0.47222771559912696, 0.6871882610543707
0.01, 1, 0.5597806959159275, 0.6871882610543707, 0.47222771559912696, 0.6871882610543707
0.05, 1, 0.6846445825197429, 0.7487174697701293, 0.7605347777821032, 0.7487174697701293
0.1, 1, 0.7620547854749992, 0.7925753875218802, 0.7892386577003878, 0.7925753875218802
0.5, 1, 0.8191517005795934, 0.8280604195652226, 0.8193587187879657, 0.8280604195652226
1, 1, 0.8225366046060989, 0.82930736582737, 0.8210572845109738, 0.82930736582737
1.5, 1, 0.8214949681768499, 0.8277397417859997, 0.8196603185852773, 0.8277397417859997
5, 1, 0.8102339087772993, 0.8151631242323806, 0.8077469111998031, 0.8151631242323806
10, 1, 0.8011102729560875, 0.8053299344344846, 0.7985712268274427, 0.8053299344344846
0.5, 0.8, 0.8225860289518062, 0.8303405861412235, 0.8220361088764575, 0.8303405861412235
0.5, 0.9, 0.8213114681856855, 0.8294499301871305, 0.8210372349007822, 0.8294499301871305
0.5, 1.1, 0.8157557368906959, 0.8255666349384485, 0.8165994468843673, 0.8255666349384485
0.5, 1.2, 0.8112486668768547, 0.8223246254321692, 0.8130304514946305, 0.8223246254321692
1, 0.8, 0.8237953086149329, 0.8301624409871963, 0.8221539585953662, 0.8301624409871963
1, 0.9, 0.8234701087860723, 0.8299486198352074, 0.8218970950466238, 0.8299486198352074
1, 1.1, 0.8221146804334654, 0.8292361217289675, 0.8208511570749615, 0.8292361217289675
1, 1.2, 0.8197123915126646, 0.8275261046944878, 0.8187581460146569, 0.8275261046944878
1.5, 0.8, 0.8237751621770315, 0.8296280436065926, 0.8219083193548744, 0.8296280436065926
1.5, 0.9, 0.8228112096403205, 0.8288442061982556, 0.8209533645408579, 0.8288442061982556
1.5, 1.1, 0.8203442710003742, 0.8268847110545643, 0.8185876377365033, 0.8268847110545643
1.5, 1.2, 0.8194056286174733, 0.8264215641192759, 0.8178121813402957, 0.8264215641192759
0.5, 0.3, 0.8221330601120492, 0.8304117985050607, 0.8217573911405894, 0.8304117985050607
0.5, 0.4, 0.8236852383258325, 0.8315163009987947, 0.8230880276252087, 0.8315163009987947
0.5, 0.5, 0.823685092718554, 0.8313025496628488, 0.8229770470430202, 0.8313025496628488
0.5, 0.6, 0.82335900593472, 0.8309106976012668, 0.8226015559194748, 0.8309106976012668
0.5, 0.7, 0.8231520040680754, 0.8306969145307559, 0.8223603743249083, 0.8306969145307559
1, 0.3, 0.8248911838460937, 0.8318725913068491, 0.8236460733605963, 0.8318725913068491
1, 0.4, 0.8241672896644587, 0.8308037203826858, 0.8226439233294078, 0.8308037203826858
1, 0.5, 0.8248321337973259, 0.8313737810674251, 0.8232703114339527, 0.8313737810674251
