dim, fscore, accuracy, precision, recall
25, 0.7413347440591717, 0.7518036875389685, 0.7382567734904502, 0.7518036875389685
50, 0.7568632881969981, 0.7674801817048187, 0.7514356536843152, 0.7674801817048187
75, 0.7558276828851297, 0.7672129687360827, 0.7500827443314695, 0.7672129687360827
100, 0.7598875961786739, 0.7709984857931772, 0.7548213757600187, 0.7709984857931772
125, 0.7590526108428065, 0.7721118731629109, 0.7531188911102306, 0.7721118731629109
150, 0.764857871922348, 0.7779905584751047, 0.7595231797418361, 0.7779905584751047
175, 0.7636631394179545, 0.7774115970428431, 0.7582489008101793, 0.7774115970428431
200, 0.7646867234689618, 0.7789703393604703, 0.7591607489918561, 0.7789703393604703
225, 0.7633817589491337, 0.7778569519907366, 0.758485191177505, 0.7778569519907366
250, 0.7672611315876714, 0.7819542175113565, 0.7620082766951453, 0.7819542175113565
275, 0.7671491207392656, 0.7810189721207803, 0.76157558570288, 0.7810189721207803
300, 0.771599111086036, 0.7860514830319765, 0.7667876841512273, 0.7860514830319765
