,dim,fscore,accuracy,precision,recall
0,25,0.7853053446906418,0.7981651376146789,0.7836162510678167,0.7981651376146789
1,50,0.8090176852048213,0.8182951812594638,0.8075875858252543,0.8182951812594638
2,75,0.8149854552815784,0.8231940856862919,0.8133039846488563,0.8231940856862919
3,100,0.8199901077815696,0.8277812416495948,0.818838352577809,0.8277812416495948
4,125,0.824972223218371,0.832056649149372,0.8237994526511339,0.832056649149372
5,150,0.8284382733701307,0.8355304177429411,0.8275217983167059,0.8355304177429411
6,175,0.8307390274526776,0.8374899795136724,0.8297797175327987,0.8374899795136724
7,200,0.8336142422953045,0.8402066446958226,0.8327728097864184,0.8402066446958226
8,225,0.8327134439508446,0.8393159348000356,0.8320677899196814,0.8393159348000356
9,250,0.8346291705808125,0.8406519996437161,0.8336042699264611,0.8406519996437161
10,275,0.8357692530257836,0.8420325999821858,0.8348192538791809,0.8420325999821858
11,300,0.8387671697136666,0.8446156586799679,0.8378279347688924,0.8446156586799679
