,dim,fscore,accuracy,precision,recall
0,25,0.8307261213659232,0.842967845372762,0.8409137128694228,0.842967845372762
1,50,0.8894643395096911,0.895297051750245,0.8991803867608049,0.895297051750245
2,75,0.9029471703164295,0.9077669902912622,0.913237600349692,0.9077669902912622
3,100,0.9073039245050639,0.911864255811882,0.9187605761299874,0.911864255811882
4,125,0.9103687970971414,0.9146254564888215,0.9218508295476715,0.9146254564888215
5,150,0.9107705606752523,0.9150262759419258,0.9227038717612372,0.9150262759419258
6,175,0.9100767823323563,0.9144027790148749,0.922316754035005,0.9144027790148749
7,200,0.9087177512174915,0.9132003206555624,0.9216484169149257,0.9132003206555624
8,225,0.9068791387371169,0.9115525073483567,0.9206960439371995,0.9115525073483567
9,250,0.9054931856658599,0.9103055134942549,0.9199635134342482,0.9103055134942549
10,275,0.9045721156801636,0.9095038745880467,0.9189901564389084,0.9095038745880467
11,300,0.9036641786186221,0.9087022356818384,0.9183837017312964,0.9087022356818384
