dim, fscore, accuracy, precision, recall
25, 0.8211830115324256, 0.8313886167275318, 0.8226815750942896, 0.8313886167275318
50, 0.8584525777828588, 0.864389418366438, 0.8596907216971681, 0.864389418366438
75, 0.8746147301309328, 0.87926427362608, 0.8759057193462647, 0.87926427362608
100, 0.8836796724838283, 0.8876814821412666, 0.8852740562664293, 0.8876814821412666
125, 0.8908485277866892, 0.8944508773492473, 0.8925934816534286, 0.8944508773492473
150, 0.8971101686105439, 0.9005077046405986, 0.8990339151180098, 0.9005077046405986
175, 0.8991110162849542, 0.9023781954217511, 0.9011305985907271, 0.9023781954217511
200, 0.9016923573801252, 0.9049167186247439, 0.9041064073005217, 0.9049167186247439
225, 0.9033907999848136, 0.9064754609423711, 0.9054676646245698, 0.9064754609423711
250, 0.9033810937615451, 0.9064754609423711, 0.9056342023995291, 0.9064754609423711
275, 0.905815414502047, 0.9088358421662065, 0.9079574670484791, 0.9088358421662065
300, 0.9073715117000171, 0.9104391199786229, 0.9098537373839427, 0.9104391199786229
