,dim,fscore,accuracy,precision,recall
0,25,0.8394678876316389,0.847822214304801,0.8414427046761828,0.847822214304801
1,50,0.8821251198699678,0.8864344882871649,0.8838833540118105,0.8864344882871649
2,75,0.899132268922031,0.9021555179478044,0.9004239715044295,0.9021555179478044
3,100,0.9072292377640065,0.9098601585463615,0.9087242417800191,0.9098601585463615
4,125,0.9162977061259404,0.9185445800302842,0.9179302996661541,0.9185445800302842
5,150,0.9200099628056642,0.9221519551082212,0.9217857337281925,0.9221519551082212
6,175,0.9234597727021946,0.9254030462278436,0.9250244401186734,0.9254030462278436
7,200,0.9253227656351614,0.9273180725037855,0.9273166257509043,0.9273180725037855
8,225,0.9264415525706634,0.9283423888839405,0.928304801524232,0.9283423888839405
9,250,0.9276806061337123,0.9295003117484635,0.9295318113685952,0.9295003117484635
10,275,0.9267255068246344,0.9286096018526766,0.9285559777056321,0.9286096018526766
11,300,0.9303557435500135,0.932127905941035,0.9322035557211993,0.932127905941035
