,dim,fscore,accuracy,precision,recall
0,25,0.6930589974296543,0.6971140999376503,0.6931247326555636,0.6971140999376503
1,50,0.728050562606109,0.7318963213681304,0.726325360260166,0.7318963213681304
2,75,0.737975323613311,0.7419613431905229,0.735403429359052,0.7419613431905229
3,100,0.7498624196127995,0.7546094237106974,0.7462602268081846,0.7546094237106974
4,125,0.7600587202636973,0.7653870134497194,0.7562570231320641,0.7653870134497194
5,150,0.7643341759341963,0.771354769751492,0.7599961781059374,0.771354769751492
6,175,0.7677753153790005,0.7747394673554823,0.7636158680908323,0.7747394673554823
7,200,0.7702210988733171,0.7775897390220006,0.766026146252037,0.7775897390220006
8,225,0.771834276555145,0.7795493007927318,0.7678439735638101,0.7795493007927318
9,250,0.7761651833496934,0.7833348178498263,0.7722292844792557,0.7833348178498263
10,275,0.7754383811116846,0.7836465663133517,0.7711561283308966,0.7836465663133517
11,300,0.7783822084947708,0.7864968379798699,0.7743891794489837,0.7864968379798699
